"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"114","","Alex Collins","BAL","RB35","10","51","184","104.9","44.2"
"115","","Robert Woods","LAR","WR53","8","48","209","127.4","54.8"
"116","","Chris Godwin","TB","WR54","1","99","164","117.4","20.3"
"117","","Tyler Lockett","SEA","WR55","6","82","144","117.9","20.6"
"118","","Tyrell Williams","LAC","WR56","9","93","159","119.5","19.4"
"119","","Kyle Rudolph","MIN","TE12","9","64","178","119.9","39.7"
"120","","Theo Riddick","DET","RB36","7","79","160","123.6","25.3"
"121","","Curtis Samuel","CAR ","WR57","11","92","151","123.9","20.1"
"122","","Rishard Matthews","TEN","WR58","8","97","199","124.4","31.2"
"123","","Chris Hogan","NE","WR59","9","54","219","127.0","48.3"
"124","","Jeremy Maclin","BAL","WR60","10","107","158","126.5","17.5"
"125","","Cameron Meredith","CHI ","WR61","9","105","192","129.0","27.1"
"126","","Pierre Garcon","SF ","WR62","11","89","206","129.6","37.1"
"127","","Kenny Golladay","DET","WR63","7","86","156","119.1","22.5"
"128","","Latavius Murray","MIN","RB37","9","61","184","137.4","40.8"
"129","","Jerick McKinnon","MIN","RB38","9","80","162","132.1","24.2"
"130","","Kenyan Drake","MIA","RB39","1","49","181","132.6","45.6"
"131","","Dede Westbrook","JAC","WR64","8","73","174","123.0","36.1"
"132","","Jack Doyle","IND","TE13","11","92","182","133.3","24.7"
"133","","Willie Snead","NO","WR65","5","95","167","133.5","20.1"
"134","","Terrelle Pryor","WAS ","WR66","5","103","179","133.6","28.4"
"135","","C.J. Prosise","SEA ","RB40","6","87","174","134.1","23.8"
"136","","Eric Ebron","DET","TE14","7","69","185","134.9","32.3"
"137","","Laquon Treadwell","MIN","WR67","9","109","168","135.1","20.3"
"138","","Austin Hooper","ATL","TE15","5","101","167","135.3","24.4"
"139","","Bilal Powell","NYJ","RB41","11","103","180","136.0","22.2"
"140","","Ben Roethlisberger","PIT","QB17","9","66","197","143.7","35.9"
"141","","Eric Decker","TEN","WR68","8","97","175","136.9","25.7"
"142","","Kenneth Dixon","BAL ","RB42","10","83","178","138.4","27.0"
"143","","D'Onta Foreman","HOU ","RB43","7","100","184","139.4","24.8"
"144","","Jimmy Garoppolo","SF","QB18","11","47","189","140.6","44.9"
"145","","Julian Edelman","NE ","WR69","9","92","188","132.1","26.8"
"146","","James White","NE","RB44","9","107","166","140.8","21.5"
"147","","Austin Seferian-Jenkins","NYJ","TE16","11","114","163","134.1","16.4"
"148","","George Kittle","SF","TE17","11","99","158","134.7","20.8"
"149","","Delanie Walker","TEN","TE18","8","79","174","143.1","30.2"
"150","","Cameron Brate","TB","TE19","1","88","196","148.6","27.9"
"151","","Mike Gillislee","NE","RB45","9","102","168","151.1","20.9"
"152","","Marshawn Lynch","OAK","RB46","10","79","207","145.9","42.3"
"153","","Robert Kelley","WAS ","RB47","5","95","185","147.1","25.9"
"154","","Philip Rivers","LAC","QB19","9","132","176","154.3","12.4"
"155","","Allen Hurns","JAC","WR70","8","126","190","154.4","20.2"
"156","","Jamaal Williams","GB","RB48","8","43","216","130.2","57.5"
"157","","DeAndre Washington","OAK","RB49","10","130","195","156.0","18.4"
"158","","Spencer Ware","KC ","RB50","10","118","217","158.3","30.4"
"159","","Devontae Booker","DEN","RB51","5","114","240","161.1","34.4"
"160","","Chris Carson","SEA ","RB52","6","80","194","150.4","36.3"
"161","","Patrick Mahomes","KC","QB20","10","125","186","150.4","22.5"
"162","","Rex Burkhead","NE","RB53","9","76","211","160.1","41.7"
"163","","Adrian Peterson","ARI ","RB54","8","100","170","146.3","26.6"
"164","","Breshad Perriman","BAL","WR71","10","104","191","161.6","30.7"
"165","","Thomas Rawls","SEA","RB55","6","100","183","157.4","26.0"
"166","","J.J. Nelson","ARI","WR72","8","112","199","163.8","31.3"
"167","","Paul Richardson","SEA","WR73","6","117","221","163.9","41.8"
"168","","Gerald Everett","LAR","TE20","8","120","180","152.8","20.6"
"169","","Eddie Lacy","SEA","RB56","6","110","194","153.8","31.4"
"170","","Mohamed Sanu","ATL","WR74","5","133","185","161.0","15.8"
"171","","Adam Shaheen","CHI","TE21","9","110","197","163.6","29.5"
"172","","Jeremy Hill","CIN ","RB57","6","125","246","170.7","40.5"
"173","","Mitch Trubisky","CHI","QB21","9","117","202","165.4","26.1"
"174","","T.J. Yeldon","JAC","RB58","8","125","191","165.4","24.6"
"175","","Mike Wallace","BAL","WR75","10","141","206","170.6","20.5"
"176","","Kenny Stills","MIA","WR76","1","123","197","166.0","24.5"
"177","","Kevin White","CHI ","WR77","9","123","199","160.5","27.2"
"178","","Paul Perkins","NYG","RB59","8","120","199","161.5","28.1"
"179","","Matt Forte","NYJ ","RB60","11","143","197","168.0","17.4"
"180","","Danny Woodhead","BAL","RB61","10","84","205","163.7","39.5"
"181","","Malcolm Mitchell","NE ","WR78","9","134","243","174.9","31.7"
"182","","Martellus Bennett","NE ","TE22","9","106","191","156.6","29.9"
"183","","Carlos Henderson","DEN ","WR79","5","136","208","165.8","27.2"
"184","","Javorius Allen","BAL","RB62","10","141","238","178.0","33.4"
"185","","ArDarius Stewart","NYJ","WR80","11","99","229","172.0","39.2"
"186","","Tyrod Taylor","BUF","QB22","6","157","196","176.6","14.5"
"187","","Taywan Taylor","TEN","WR81","8","149","179","163.2","10.0"
"188","","Blake Bortles","JAC","QB23","8","139","232","175.5","28.5"
"189","","Jonathan Stewart","CAR","RB63","11","128","196","175.6","21.2"
"190","","Frank Gore","IND","RB64","11","126","195","176.1","23.8"
"191","","Wayne Gallman","NYG","RB65","8","155","228","180.0","22.1"
"192","","Elijah McGuire","NYJ","RB66","11","101","232","174.2","48.4"
"193","","Matt Breida","SF","RB67","11","122","242","182.4","33.1"
"194","","Brandon Marshall","NYG ","WR82","8","134","207","174.8","29.5"
"195","","James Conner","PIT ","RB68","9","145","194","176.0","16.4"
"196","","Jamaal Charles","DEN","RB69","5","144","203","178.0","22.0"
"197","","Jonnu Smith","TEN","TE23","8","162","239","189.0","25.6"
"198","","Charles Sims","TB","RB70","1","149","212","184.4","25.3"
"199","","Kenny Britt","NE","WR83","9","153","198","176.0","18.7"
"200","","Ted Ginn","NO","WR84","5","154","222","187.2","25.1"
"201","","Jermaine Kearse","NYJ","WR85","11","149","193","174.3","16.8"
"202","","Keelan Cole","JAC","WR86","8","142","205","167.0","27.3"
"203","","Joe Williams","SF ","RB71","11","138","225","180.8","32.3"
"204","","Michael Floyd","MIN","WR87","9","113","222","185.4","37.6"
"205","","Jared Cook","OAK","TE24","10","156","179","169.3","9.7"
"206","","Cole Beasley","DAL","WR88","6","165","196","184.4","11.7"
"207","","Damien Williams","MIA","RB72","1","126","204","175.0","34.8"
"208","","J.D. McKissic","SEA","RB73","6","121","248","184.5","63.5"
"209","","Chad Williams","ARI","WR89","8","155","241","200.6","32.6"
"210","","Corey Clement","PHI","RB74","10","150","223","183.7","30.1"
"211","","Coby Fleener","NO ","TE25","5","144","239","195.0","34.7"
"212","","Demarcus Robinson","KC","WR90","10","133","242","194.7","45.6"
"213","","Mack Hollins","PHI","WR91","10","140","222","185.7","34.1"
"214","","Tyler Higbee","LAR","TE26","8","176","224","190.3","19.8"
"215","","Ricky Seals-Jones","ARI","TE27","8","160","190","179.3","13.7"
"216","","Shane Vereen","NYG","RB75","8","139","225","188.0","36.1"
"217","","LeGarrette Blount","PHI","RB76","10","168","221","190.3","19.4"
"218","","Charles Clay","BUF","TE28","6","139","235","200.3","43.5"
"219","","Andy Dalton","CIN","QB24","6","169","218","193.7","16.5"
"220","","Julius Thomas","MIA ","TE29","1","150","209","189.5","23.1"
"221","","Jalen Richard","OAK","RB77","10","172","245","199.2","24.8"
"222","","Mike Davis","SEA","RB78","6","148","206","177.0","29.0"
"223","","Tyler Kroft","CIN","TE30","6","171","227","192.0","24.9"
"224","","Terrance West","BAL","RB79","10","169","213","193.8","18.5"
"225","","Tyler Boyd","CIN","WR92","6","177","219","198.4","18.3"
"226","","Jacquizz Rodgers","TB","RB80","1","172","235","204.3","27.6"
"227","","Chris Conley","KC ","WR93","10","157","212","193.3","25.7"
"228","","Alex Smith","KC","QB25","10","161","233","206.2","24.2"
"229","","Wendell Smallwood","PHI","RB81","10","158","219","197.3","23.3"
"230","","Torrey Smith","PHI","WR94","10","158","247","213.0","39.3"
"231","","DeShone Kizer","CLE","QB26","9","172","226","202.3","23.0"
"232","","Taylor Gabriel","ATL","WR95","5","175","235","204.8","24.2"
"233","","Austin Ekeler","LAC","RB82","9","163","214","188.5","25.5"
"234","","C.J. Fiedorowicz","HOU ","TE31","7","170","237","202.0","19.6"
"235","","Seth Roberts","OAK","WR96","10","171","224","203.5","21.9"
"236","","Eli Manning","NYG","QB27","8","173","207","194.3","15.2"
"237","","Quincy Enunwa","NYJ ","WR97","11","189","222","200.0","13.0"
